actor_modal_goal_diversity,actor_pairwise_goal_js_mean,actor_pairwise_goal_js_p95,arm,continuation_all_mean,continuation_factual_mean,continuation_nonmatching_mean,goal_queries,jobs,reward_all_mean,reward_factual_mean,reward_factual_minus_nonmatching,reward_goal_range_mean,reward_goal_std_mean,reward_goal_top1_accuracy,reward_nonmatching_event_rate,reward_nonmatching_mean,reward_slowvalue_within_state_correlation,reward_value_within_state_correlation,reward_value_within_state_slope,scope,slowvalue_all_mean,slowvalue_factual_mean,slowvalue_nonmatching_mean,slowvalue_query_over_threshold_rate,state_kind,states,step,stop_factual_mean,stop_factual_minus_nonmatching,stop_goal_top1_accuracy,stop_nonmatching_mean,value_all_goals_above_factual_return_state_rate,value_all_goals_over_threshold_state_rate,value_all_mean,value_factual_bias_vs_realized,value_factual_mae_vs_realized,value_factual_mean,value_factual_minus_nonmatching,value_goal_range_mean,value_goal_relative_range_mean,value_goal_std_mean,value_goal_top1_accuracy,value_max_across_goals_mean,value_min_across_goals_mean,value_nonmatching_mean,value_query_above_factual_return_rate,value_query_over_threshold_rate,value_slowvalue_within_state_correlation
0.17441795034190855,0.004478511908621274,0.02411032984435282,current_old_50_50,0.9861025214195251,0.9887745380401611,0.985568126042684,37318.0,3,0.002132527685413758,0.0021801841212436557,5.718768807128072e-05,0.0008675640177292129,0.00028084278649960953,0.24625292346226754,0.001962835114716264,0.002122996433172375,-0.04326039533149195,-0.042469238629307904,-0.2587830502120514,all_slots,0.6892949243386587,0.6872796714305878,0.6896979908148447,0.1713377626620843,all,6219.666666666667,400000,0.008409391933431229,-0.0031682580399016538,0.14580600982153116,0.011577649973332882,0.9433062197995307,0.1485235649600782,0.691505899031957,0.6125266750653585,0.6356071730454763,0.6891423463821411,-0.002836306889851888,0.04102864023298025,0.05259512116511663,0.012699231505393982,0.1314832297684377,0.7128170530001322,0.6717884242534637,0.691978653271993,0.9460127435680951,0.1754273422473144,0.993162916147695
0.19829836485421592,0.03814798171743171,0.19703269533209244,current_old_50_50,0.8923442761103312,0.8979021708170573,0.8912326693534851,584.0,3,0.037173429930893086,0.04046660615131259,0.003951809019781649,0.042584001823949315,0.01367545253985251,0.2539850159922125,0.0058823529411764705,0.03651479713153094,-0.1800840418549189,-0.17587477328291065,2.2070698644830546,all_slots,0.7179967959721884,0.717597762743632,0.7180766264597574,0.06117600704584434,episode_initial,97.33333333333333,400000,0.09945317792395751,-0.0066926442086696625,0.10336705604227507,0.10614582213262717,0.7787468710888611,0.010638297872340425,0.7141536176204681,0.4586186061302821,0.5268614192803701,0.7140724162260691,-9.745359420776367e-05,0.19359406332174936,0.36850763360659283,0.06098678025106589,0.23513767209011263,0.815687874952952,0.6220938066641489,0.7141698698202769,0.8373465964399944,0.062404394381866214,0.9977129527807768
0.17306286549707606,0.0037195953962295045,0.02019744205479543,current_old_50_50,0.2955815227081378,0.2698751101270318,0.3007227834314108,200.0,3,0.2671840613087018,0.2658783346414566,-0.0015668670336405437,0.025074930861592293,0.008683590373645226,0.03508771929824561,0.33793859649122804,0.26744520167509717,-0.35264724278038284,-0.35390325029679365,-0.30529441569684057,all_slots,0.7901273767153422,0.791035791238149,0.7899456818898519,0.24142300194931776,goal_completion,33.333333333333336,400000,0.729312002658844,0.030932108561197918,0.09210526315789473,0.6983798940976461,0.40738304093567246,0.195906432748538,0.7863403956095377,0.0025219892462094626,0.28039801120758057,0.786554197470347,0.00025653839111328125,0.053891400806605816,0.07118285571535428,0.01779041881673038,0.1543859649122807,0.8202416300773621,0.7663501898447672,0.7862976590792338,0.42872807017543857,0.22846003898635478,0.9893042356575065
0.1744203326829742,0.004479778376092552,0.02410291203374246,current_old_50_50,0.9897279342015585,0.9925605456034342,0.9891614516576132,37118.0,3,0.0006315934939872628,0.0006836477587057743,6.246509534927706e-05,0.0007319216432127481,0.00023386942393699428,0.2473947754156065,0.00010272213662044171,0.0006211826633564973,0.01703359364915763,0.019477844580299535,2.1993277196325316,all_slots,0.6886980930964152,0.6866713563601176,0.6891034444173177,0.17096856943944724,ordinary,6186.333333333333,400000,0.004612828915317853,-0.003361233820517858,0.14605758319978823,0.00797406289105614,0.946305792565599,0.1482122528675308,0.690936396519343,0.6158836136261622,0.637548009554545,0.6885628700256348,-0.0028482675552368164,0.04100610843549172,0.052557108302911125,0.012687395559623837,0.13136112168984862,0.7122074067592621,0.6712013185024261,0.6914111375808716,0.9489142010787671,0.1751378640614526,0.9932776403807919
,,,current_old_50_50,,,,0.0,3,,,,,,,,,,,,all_slots,,,,,physical_terminal,0.0,400000,,,,,,,,,,,,,,,,,,,,,
0.26072510683139954,0.0061219681561988015,0.031505846041926217,current_old_50_50,0.9867499669392904,0.9887745380401611,0.9860750635464987,24878.666666666668,3,0.00209531329649811,0.0021801841212436557,0.00011316112553079923,0.0008647901510509352,0.0003335172465691964,0.2587593488073003,0.00196632531010118,0.0020670229957128563,-0.045456654388025035,-0.044488698925702626,-0.2731510610524244,trained,0.6893436312675476,0.6872796714305878,0.6900316178798676,0.17108118209752887,all,6219.666666666667,400000,0.008409391933431229,-0.0026921674919625125,0.18822693596163156,0.01110155942539374,0.9433062197995307,0.14868379256404682,0.6915715535481771,0.6125266750653585,0.6356071730454763,0.6891423463821411,-0.0032389561335245767,0.04074575969328483,0.051920872181653976,0.015126787746946016,0.14162274764738333,0.7127750019232432,0.6720292568206787,0.6923813025156657,0.9461733755709966,0.17524410275194313,0.9937236101101865
0.295762498261716,0.05446097876645811,0.27632598413521264,current_old_50_50,0.9017823735872904,0.8979021708170573,0.9030757546424866,389.3333333333333,3,0.035495286186536155,0.04046660615131259,0.0066284262187158065,0.04247895919252187,0.01630628326286872,0.2676131622861911,0.006535947712418301,0.03383817993259678,-0.1901976750295449,-0.18527547049265614,2.3193149094575793,trained,0.7183474997679392,0.717597762743632,0.71859743197759,0.07029620358781812,episode_initial,97.33333333333333,400000,0.09945317792395751,0.00515290970603625,0.22559449311639548,0.09430026821792126,0.7787468710888611,0.010638297872340425,0.7147379517555237,0.4586186061302821,0.5268614192803701,0.7140724162260691,-0.0008873740832010905,0.19304231802622476,0.35965095708767575,0.07282388831178348,0.2558580169656515,0.8151609698931376,0.6221186419328054,0.7149597903092703,0.8381961827284106,0.0704352663051036,0.9978536368213883
0.25959429824561403,0.005247413265840171,0.0230912572776875,current_old_50_50,0.30896321559945744,0.2698751101270318,0.3219925711552302,133.33333333333334,3,0.2653668100635211,0.2658783346414566,0.000682048499584198,0.024854900625844795,0.010008123548080524,0.03508771929824561,0.33654970760233915,0.2651962861418724,-0.3422515981331506,-0.34329079914177507,-0.21531926328372844,trained,0.7920383016268412,0.791035791238149,0.792372465133667,0.24473684210526314,goal_completion,33.333333333333336,400000,0.729312002658844,0.052260369062423706,0.26535087719298245,0.6770516335964203,0.40738304093567246,0.2070175438596491,0.7884335120519003,0.0025219892462094626,0.28039801120758057,0.786554197470347,-0.002505819002787272,0.05311035675307115,0.06923653309543927,0.020562973339110613,0.1631578947368421,0.8202086488405863,0.7670982480049133,0.7890600164731344,0.4294590643274854,0.23362573099415207,0.991226689619111
0.2607234278699538,0.006122042653967757,0.031505102992222624,current_old_50_50,0.9903035759925842,0.9925605456034342,0.9895512262980143,24745.333333333332,3,0.0006039093471675491,0.0006836477587057743,0.00010631788002986771,0.0007300725810637232,0.00027913799810145673,0.25996205732571737,0.00011413570735604633,0.0005773298786759066,0.016952464622916035,0.019750229550935205,2.3134569296366605,trained,0.6887381672859192,0.6866713563601176,0.689427117506663,0.17069300583212854,ordinary,6186.333333333333,400000,0.004612828915317853,-0.003002789104357362,0.1876294177223005,0.007615618174895644,0.946305792565599,0.1483263885748869,0.6909927229086558,0.6158836136261622,0.637548009554545,0.6885628700256348,-0.003239790598551432,0.040725224961837135,0.051887733240922294,0.015115516260266304,0.1414950880679278,0.7121653656164805,0.6714401443799337,0.6918026606241862,0.9490710684239474,0.1749283073011169,0.9938058087423417
,,,current_old_50_50,,,,0.0,3,,,,,,,,,,,,trained,,,,,physical_terminal,0.0,400000,,,,,,,,,,,,,,,,,,,,,
0.19623156768438346,0.04034027821178327,0.2646005903346786,current_old_50_50,0.9846376578013102,0.988701065381368,0.9838250080744425,37318.0,3,0.001670975567928205,0.0016892348843005796,2.1911138901486993e-05,0.0009615963111476352,0.00034496708152194816,0.23610936320295672,0.0015077800887091913,0.0016673237453990926,0.024541049284771622,0.02464764135557727,2.4617291524030542,all_slots,1.8390430609385173,2.1167768637339273,1.7834961811701457,0.7358553921572929,all,6219.666666666667,600000,0.008682584700485071,-0.004835727624595165,0.13486186840128467,0.013518312325080236,0.9705195628307499,0.582939894269904,1.8584086497624714,2.0577230056126914,2.0645955006281533,2.1343385775883994,0.3311158021291097,1.3746655384699504,0.7116209864616394,0.45237451295057934,0.2608399982039756,2.7548240423202515,1.3801583846410115,1.8032227754592896,0.9778344932876187,0.7354207193143436,0.9961727861251385
