all_goal_value_over_threshold_anchor_rate,anchors,arm,bootstrap_mean_factual_mean,bootstrap_mean_goal_range_mean,bootstrap_mean_goal_std_mean,bootstrap_mean_nonmatching_mean,comparison_scope,goal_ids,goal_names,horizon,imagined_reward_event_posterior_sample_rate_factual_mean,imagined_reward_event_posterior_sample_rate_goal_range_mean,imagined_reward_event_posterior_sample_rate_goal_std_mean,imagined_reward_event_posterior_sample_rate_nonmatching_mean,imagined_reward_sum_mean_factual_mean,imagined_reward_sum_mean_goal_range_mean,imagined_reward_sum_mean_goal_std_mean,imagined_reward_sum_mean_nonmatching_mean,imagined_stop_posterior_sample_rate_factual_mean,imagined_stop_posterior_sample_rate_goal_range_mean,imagined_stop_posterior_sample_rate_goal_std_mean,imagined_stop_posterior_sample_rate_nonmatching_mean,incomplete_goal_sweeps,minimum_goal_value_mean,online_value_start_mean_factual_mean,online_value_start_mean_goal_range_mean,online_value_start_mean_goal_std_mean,online_value_start_mean_nonmatching_mean,proposal,raw_rows,return_mean_factual_mean,return_mean_goal_range_mean,return_mean_goal_std_mean,return_mean_nonmatching_mean,reward_only_bootstrap_within_anchor_correlation,reward_only_mean_factual_mean,reward_only_mean_goal_range_mean,reward_only_mean_goal_std_mean,reward_only_mean_nonmatching_mean,reward_only_return_within_anchor_correlation,reward_only_value_within_anchor_correlation,reward_sum_return_within_anchor_correlation,scope,seed,slow_value_start_mean_factual_mean,slow_value_start_mean_goal_range_mean,slow_value_start_mean_goal_std_mean,slow_value_start_mean_nonmatching_mean,step
0.0,90,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,"0,1,2,3,4,5","go_to_door,fetch,go_to_object,put_near,unlock_pickup,pickup_dist",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8638888888888889,0.171875,0.06521756838833032,0.8639583333333334,0,0.0,0.0,0.0,0.0,0.0,recorded,540,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0,0.0,0.0,0.0,0.0,0
0.0,88,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,"0,1,2,3,4,5","go_to_door,fetch,go_to_object,put_near,unlock_pickup,pickup_dist",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9737215909090909,0.05078125,0.020804715502841766,0.9774857954545456,0,0.0,0.0,0.0,0.0,0.0,recorded,528,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0,0.0,0.0,0.0,0.0,0
0.0,83,current_old_50_50,0.0,0.0,0.0,0.0,paired_recorded,"0,1,2,3,4,5","go_to_door,fetch,go_to_object,put_near,unlock_pickup,pickup_dist",15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996234939759037,0.0007530120481927711,0.00028063102127256394,0.9999246987951808,0,0.0,0.0,0.0,0.0,0.0,recorded,498,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,all_slots,0,0.0,0.0,0.0,0.0,0
0.0,186,current_old_50_50,0.7396194460724331,0.010076714684062339,0.0039208223911838085,0.7395387312163457,all,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",1,0.003360215053763441,0.0015120967741935483,0.0006535296338798193,0.0029681899641577063,0.0032575265360376554,0.001398720836671319,0.000595803423006793,0.002868080265687028,0.015456989247311828,0.002688172043010753,0.0011427365119330273,0.01416890681003584,0,0.6686312397641521,0.6794235804869283,0.02127714415070831,0.008457404242424298,0.6761435689838555,actor,744,0.7428769725300887,0.00917757833649888,0.0035549947558575533,0.7424068114743692,-0.5040210853506971,0.003257526457655316,0.0013987208224422126,0.000595803434641067,0.00286808025802332,0.0584444649209459,-0.06076653470985657,0.05844445443743108,trained,0,0.6734067833712024,0.023542370687248886,0.009348612761946843,0.669852669173885,200000
0.0,186,current_old_50_50,0.704903580362256,0.008992998203521218,0.0036284095871703167,0.703646517694881,all,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",3,0.07594086021505377,0.00823252688172043,0.003487927765899246,0.07902105734767023,0.12082380697656894,0.01624020265052241,0.006596267704458356,0.12750496042455953,0.09358198924731183,0.008400537634408602,0.0035576400243480374,0.09470206093189963,0,0.6686312397641521,0.6794235804869283,0.02127714415070831,0.008457404242424298,0.6761435689838555,actor,744,0.762371675645287,0.0075383913578599415,0.0029629031823236876,0.76484837847242,-0.7515481040738445,0.05746809528303105,0.008343394528122538,0.0034034536382624102,0.06120186077753902,0.674079795215226,-0.2939299638703739,0.5570689434178544,trained,0,0.6734067833712024,0.023542370687248886,0.009348612761946843,0.669852669173885,200000
0.0,186,current_old_50_50,0.6062639367000997,0.013897146189378009,0.005671900266598405,0.6045711384203134,all,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",6,0.2234543010752688,0.016969086021505375,0.007164338630509512,0.22687051971326166,0.456175794005306,0.05524194797152389,0.022008227091845696,0.4732146482036171,0.24176747311827956,0.01730510752688172,0.007319688273403325,0.24350358422939067,0,0.6686312397641521,0.6794235804869283,0.02127714415070831,0.008457404242424298,0.6761435689838555,actor,744,0.7632244511927564,0.008561686232879881,0.0033604197335306077,0.7661330311277125,-0.8217479707897993,0.15696051449265677,0.015700007858643367,0.006372457864085034,0.16156189270739896,0.6146846832807267,-0.36284365648609485,0.5991981223463148,trained,0,0.6734067833712024,0.023542370687248886,0.009348612761946843,0.669852669173885,200000
0.0,186,current_old_50_50,0.39955207300556944,0.019809730143389527,0.00789220483610645,0.398581760320995,all,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",15,0.660114247311828,0.038306451612903226,0.015953288479164683,0.6628584229390682,2.3231069895849434,0.23558581372102103,0.09212828541699707,2.3320347208489656,0.670866935483871,0.03612231182795699,0.015065505061862319,0.6717629928315412,0,0.6686312397641521,0.6794235804869283,0.02127714415070831,0.008457404242424298,0.6761435689838555,actor,744,0.7637065444687449,0.010157042030781487,0.00396222417213823,0.7667789143945197,-0.836613148494056,0.36415447146317526,0.02433465073221123,0.009646987080755594,0.36819715407352477,0.593214029245675,-0.31411706825638613,0.28644760915715517,trained,0,0.6734067833712024,0.023542370687248886,0.009348612761946843,0.669852669173885,200000
0.0,186,current_old_50_50,0.7396194460724331,0.010076714684062339,0.0039208223911838085,0.7395387312163457,paired_recorded,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",1,0.003360215053763441,0.0015120967741935483,0.0006535296338798193,0.0029681899641577063,0.0032575265360376554,0.001398720836671319,0.000595803423006793,0.002868080265687028,0.015456989247311828,0.002688172043010753,0.0011427365119330273,0.01416890681003584,0,0.6686312397641521,0.6794235804869283,0.02127714415070831,0.008457404242424298,0.6761435689838555,actor,744,0.7428769725300887,0.00917757833649888,0.0035549947558575533,0.7424068114743692,-0.5040210853506971,0.003257526457655316,0.0013987208224422126,0.000595803434641067,0.00286808025802332,0.0584444649209459,-0.06076653470985657,0.05844445443743108,trained,0,0.6734067833712024,0.023542370687248886,0.009348612761946843,0.669852669173885,200000
0.0,90,current_old_50_50,0.7692620286702556,0.009179103481446781,0.0037587980050796093,0.7696606216637076,paired_recorded,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",3,0.04375,0.007638888888888889,0.0033414530665447206,0.0431712962962963,0.07377118764205666,0.014076465042504083,0.006005245815109621,0.0722326213300824,0.04548611111111111,0.007638888888888889,0.003299074796960588,0.045023148148148145,0,0.6601607176992629,0.6717794911728965,0.02830217745569017,0.011409631646160939,0.6714390340778563,actor,360,0.8062068190855233,0.004218677059868354,0.0016513902342517595,0.8059290889705786,-0.953230603357023,0.03694479041526758,0.006750713766407547,0.0028555541751634937,0.036268467306871124,0.3576887224181559,-0.22777051866138126,0.343115188385408,trained,0,0.6661241994963751,0.03138071000576019,0.01261114282091145,0.6657452969639389,200000
0.0,88,current_old_50_50,0.6251963738245692,0.015108019646602138,0.006182448034831945,0.6244256098727564,paired_recorded,"0,1,2,3","go_to_door,fetch,go_to_object,put_near",6,0.24822443181818182,0.018465909090909092,0.007842698233194095,0.24940814393939395,0.48579354529193935,0.05349223523797842,0.021797660391371657,0.4879980047008834,0.2521306818181818,0.018465909090909092,0.007810052166258685,0.2531960227272727,0,0.6615929095582529,0.6734452623535286,0.028357562693682583,0.011417964050890307,0.672796059174068,actor,352,0.805609868990777,0.005510645082673445,0.0021706006755058296,0.8057106890715644,-0.9528936140439751,0.18041349516620778,0.01573566562971861,0.006406561969122068,0.18128507919880812,0.4534399491261064,-0.41672787741325396,0.3799388369732199,trained,0,0.6678351617672227,0.03145073862238364,0.012625146417029415,0.667099545399348,200000
