all_goal_value_over_threshold_anchor_rate,anchors,arm,bootstrap_mean_factual_mean,bootstrap_mean_goal_range_mean,bootstrap_mean_goal_std_mean,bootstrap_mean_nonmatching_mean,comparison_scope,horizon,imagined_reward_event_posterior_sample_rate_factual_mean,imagined_reward_event_posterior_sample_rate_goal_range_mean,imagined_reward_event_posterior_sample_rate_goal_std_mean,imagined_reward_event_posterior_sample_rate_nonmatching_mean,imagined_reward_sum_mean_factual_mean,imagined_reward_sum_mean_goal_range_mean,imagined_reward_sum_mean_goal_std_mean,imagined_reward_sum_mean_nonmatching_mean,imagined_stop_posterior_sample_rate_factual_mean,imagined_stop_posterior_sample_rate_goal_range_mean,imagined_stop_posterior_sample_rate_goal_std_mean,imagined_stop_posterior_sample_rate_nonmatching_mean,incomplete_goal_sweeps,jobs,minimum_goal_value_mean,online_value_start_mean_factual_mean,online_value_start_mean_goal_range_mean,online_value_start_mean_goal_std_mean,online_value_start_mean_nonmatching_mean,proposal,raw_rows,return_mean_factual_mean,return_mean_goal_range_mean,return_mean_goal_std_mean,return_mean_nonmatching_mean,reward_only_bootstrap_within_anchor_correlation,reward_only_mean_factual_mean,reward_only_mean_goal_range_mean,reward_only_mean_goal_std_mean,reward_only_mean_nonmatching_mean,reward_only_return_within_anchor_correlation,reward_only_value_within_anchor_correlation,reward_sum_return_within_anchor_correlation,scope,slow_value_start_mean_factual_mean,slow_value_start_mean_goal_range_mean,slow_value_start_mean_goal_std_mean,slow_value_start_mean_nonmatching_mean,step
0.0,192.66666666666666,current_old_50_50,0.7037722018001848,0.010048159719236524,0.003496948511686438,0.7026342559097181,all,3,0.06747193842754924,0.004836522399823211,0.0018767977261787035,0.06913258102187368,0.12790357370550712,0.00998401109772533,0.003613376827464762,0.13084283314982278,0.07662456608053579,0.005611776204548388,0.002167264111356352,0.07779267034612446,0.0,3,0.6684163484975691,0.6810326665030232,0.022766178211222395,0.0076861630261228124,0.6778170924217232,actor,1156.0,0.7582434142209832,0.008213127778629028,0.002789118520678911,0.7587674704389303,-0.7350027353552279,0.05447121242079835,0.004631624840223017,0.001694373997299145,0.0561332145292123,0.2461388797891685,-0.09746869378715949,0.19831642925906742,all_slots,0.6806578701953229,0.023611523614703464,0.007967567176464128,0.6772876318245871,200000
0.0,192.66666666666666,current_old_50_50,0.6281793268491557,0.01587413921449585,0.00562739655580377,0.625364127652667,all,6,0.1821404784331453,0.017498623389274423,0.006598440312598273,0.18608311938449953,0.4004423954549698,0.048828173480705415,0.017305747947050556,0.41394890368596965,0.19173255720076643,0.018220805734598975,0.006885736819869255,0.19548828876083468,0.0,3,0.6684163484975691,0.6810326665030232,0.022766178211222395,0.0076861630261228124,0.6778170924217232,actor,1156.0,0.761025322308101,0.007891979615372684,0.0026665062268545685,0.7616175126758266,-0.9045219086328585,0.1328459954589453,0.013716185583759576,0.004991749896218058,0.1362533850231596,0.3585451628577583,-0.1450266733376175,0.28208651468945883,all_slots,0.6806578701953229,0.023611523614703464,0.007967567176464128,0.6772876318245871,200000
0.0,192.66666666666666,current_old_50_50,0.44418453652242973,0.02676613484392565,0.009270063234195228,0.4415327535997329,all,15,0.5575124687951898,0.05237668585799258,0.01908733212220088,0.5616370940433787,1.8670029121338947,0.2736954227830024,0.09209204911994391,1.9058069990024267,0.5650697973497373,0.05214805451854615,0.018991213733944686,0.5687738079783483,0.0,3,0.6684163484975691,0.6810326665030232,0.022766178211222395,0.0076861630261228124,0.6778170924217232,actor,1156.0,0.7609880968704191,0.008513704133875416,0.0028787319452660636,0.7616926661274666,-0.9363612946256855,0.31680356034798934,0.02957389063100563,0.010334756831014045,0.3201599125277337,0.5114474681900155,-0.17222581925716032,0.3095766742224597,all_slots,0.6806578701953229,0.023611523614703464,0.007967567176464128,0.6772876318245871,200000
0.0,192.66666666666666,current_old_50_50,0.7148613613626331,0.013208139186593628,0.004445272041146513,0.7141930060699674,paired_recorded,1,0.027654068367838226,0.0008722283630544008,0.00034074435632035915,0.027644114898121002,0.023720914864105356,0.0008946169761428069,0.00034199579870317754,0.02369736506748335,0.03490404021943987,0.0015914785835501883,0.0006454394421845433,0.03460374774917844,0.0,3,0.6684163484975691,0.6810326665030232,0.022766178211222395,0.0076861630261228124,0.6778170924217232,actor,1156.0,0.7385822760579878,0.012728530888026543,0.004266032585441179,0.7378903710626742,-0.3353697883835984,0.023720914695354662,0.0008946171075901146,0.0003419958557717068,0.023697364992706832,0.02585344980082066,-0.01835743003720781,0.025853449550830503,all_slots,0.6806578701953229,0.023611523614703464,0.007967567176464128,0.6772876318245871,200000
0.0,92.0,current_old_50_50,0.75045942393956,0.01138591266525106,0.003992456195799692,0.7494833755377472,paired_recorded,3,0.037092731829573934,0.00637457693378746,0.002497400575528237,0.038024976972345394,0.0573660842706687,0.010898794424738267,0.004057035543404264,0.058608153868393936,0.03790037326221537,0.00683499614420667,0.0026481989929586884,0.03897074416811259,0.0,3,0.6676517700108654,0.684504357223681,0.029437326838735612,0.01003324631081489,0.6803812496125833,actor,552.0,0.7814418425137634,0.007210593748851329,0.0024497150535223934,0.7811865713332549,-0.8932658663209375,0.03098241857420363,0.005601283652689387,0.002117463629227101,0.03170319579550767,0.23988024587449183,-0.06975959677346599,0.22659747299471697,all_slots,0.6837189030823986,0.03128825068503182,0.010652133189670345,0.6793856331619926,200000
0.0,87.66666666666667,current_old_50_50,0.6607563371719555,0.019846464993740404,0.007045040977925687,0.6578768492425812,paired_recorded,6,0.16830111779560308,0.024243507377698554,0.009101955632261618,0.17196158892850066,0.31878230987496897,0.05185866178301771,0.018853229936261096,0.3258326962854557,0.1700933972073678,0.02411678055060408,0.009061959214415502,0.17404201326995442,0.0,3,0.6686528099314556,0.6856645292763511,0.029470541441669607,0.010023324733024423,0.6813805847565569,actor,526.0,0.7836186688480341,0.007290894490248486,0.0024790501482375073,0.7835088527184338,-0.9605760970523959,0.12286233167607863,0.01829627630036392,0.006707351618442513,0.1256320034758525,0.45016922228063266,-0.1508909719330928,0.3685002207699217,all_slots,0.6847968598646584,0.031374976223832333,0.010658987246048884,0.6803151374110895,200000
0.0,70.33333333333333,current_old_50_50,0.44304368073301575,0.02774231740810028,0.00965243339602248,0.44204148424408585,paired_recorded,15,0.5917999343414714,0.053803005276236916,0.019712102411948224,0.592857831619734,2.1181599239204147,0.2866454831725551,0.09660315199659719,2.1251993552437733,0.59419054517189,0.053677503268204786,0.01962255298085219,0.5957629148068323,0.0,3,0.6670001567688493,0.682335960315345,0.029307964990630552,0.009948328458551292,0.6799251637166958,actor,422.0,0.7834267634407475,0.007705704612747728,0.002627986617536901,0.7833020922784385,-0.9764363494911855,0.3403830827077317,0.03176495622843847,0.011071176155298712,0.3412606080343526,0.6378945795601219,-0.13774877399691043,0.4349574750095033,all_slots,0.6813015681727169,0.03129450268185418,0.010609968045880191,0.678919776788348,200000
0.0,192.66666666666666,current_old_50_50,0.5294640315471374,0.01568871158587615,0.005260291302918996,0.5280720592226993,paired_recorded,1,0.030515235775746052,0.0016906631762652706,0.0005687679047629379,0.03167143123822424,0.02829912306520604,0.0015636229995049352,0.0005217395678771788,0.02944685828517166,0.20327354932117547,0.0005600358422939068,0.00021224820297921116,0.20298233068318264,0.0,3,0.6684003166350158,0.6810158288068097,0.022764405314150405,0.007684902379630072,0.6778003784216292,recorded,1156.0,0.557763154984065,0.01720985437482423,0.005768539579675797,0.5575189176187919,-0.0025191288497143243,0.02829912343692767,0.001563623109826442,0.0005217395485520227,0.02944685839609248,0.26324866121039964,-0.05012836841290489,0.26324866118739,all_slots,0.6806714266769749,0.02359310765134756,0.007961357623530748,0.6773067605758415,200000
0.0,92.0,current_old_50_50,0.6450688503739238,0.021932833058736615,0.00733957843703793,0.6423204087899036,paired_recorded,3,0.0,0.0,0.0,0.0,2.0814869757002635e-06,5.349857188379921e-07,1.7682937718150245e-07,2.1086577097963626e-06,0.018006554848660112,0.0,0.0,0.018006554848660112,0.0,3,0.6676413902049889,0.684490821812723,0.029433653953615083,0.010030596519881628,0.6803691948695091,recorded,552.0,0.6450707969974597,0.021932583364853087,0.007339501131486091,0.6423223822922908,-0.08288311125019182,1.946623536110718e-06,4.956740063261344e-07,1.6398339757522733e-07,1.9735023872821375e-06,-0.08283917862542774,-0.20799199893152487,-0.07969151832925606,all_slots,0.6837376766531641,0.03127582717961483,0.01064706106109733,0.6794113984711742,200000
0.0,87.66666666666667,current_old_50_50,0.6589393113273185,0.01823616991517912,0.006076382680519218,0.6569535655440353,paired_recorded,6,0.003587962962962963,0.0,0.0,0.003587962962962963,0.0031889143588695306,1.0063483311725602e-05,3.4498544482695307e-06,0.0031934669587367313,0.01525054466230937,0.0,0.0,0.01525054466230937,0.0,3,0.668646078319048,0.6856547081960702,0.02946713162804859,0.010021030004723411,0.6813727861603289,recorded,526.0,0.6613705038322993,0.01823915867114068,0.006077571478965414,0.659383693906034,-0.05695709070760374,0.002431192504980759,9.661438508805428e-06,3.2457997211497254e-06,0.0024301283619987796,-0.05452942938930199,-0.09589456770275133,-0.05783434826927978,all_slots,0.6848105628305342,0.03135930961250645,0.010653880234434433,0.6803347558638416,200000
0.0,70.33333333333333,current_old_50_50,0.6396054451020378,0.018258909267550586,0.006139163512621985,0.6387422681368768,paired_recorded,15,0.0018481182795698926,0.0005040322580645161,0.00020923319766463875,0.0020833333333333333,0.004383326218289787,0.0006877668630222588,0.00022708051607509875,0.004469377919346869,0.029211665822625788,0.0,0.0,0.029211665822625788,0.0,3,0.6670001567688493,0.682335960315345,0.029307964990630552,0.009948328458551292,0.6799251637166958,recorded,422.0,0.6398362199369447,0.018279422282922186,0.006147492657193669,0.6390105936853147,-0.058270341109494334,0.0002307748349069718,6.629969859713496e-05,2.1999319410818643e-05,0.0002683255484377623,-0.036752745518184915,-0.10193972859988887,-0.053874812457247574,all_slots,0.6813015681727169,0.03129450268185418,0.010609968045880191,0.678919776788348,200000
0.0,192.66666666666666,current_old_50_50,0.7148613613626331,0.012003272813964646,0.00461795332844573,0.7149295440622155,all,1,0.027654068367838226,0.0008722283630544008,0.00037251253306631524,0.027632468381599662,0.023720914864105356,0.0008846903521058077,0.0003711319967201288,0.02370184298749589,0.03490404021943987,0.0015914785835501883,0.0006845807729348843,0.034511037754891206,0.0,3,0.67047921954611,0.6810326665030232,0.020567127963683943,0.007960946249980737,0.6794873725593628,actor,770.6666666666666,0.7385822760579878,0.011476803946430462,0.004399119740677904,0.7386313870344275,-0.35547609410158065,0.023720914695354662,0.0008846902681389538,0.00037113200842551645,0.02370184297221198,0.019219874641371704,-0.02909765310891139,0.019219873363733053,trained,0.6806578701953229,0.0215677886330644,0.008341412581624068,0.6789102070160674,200000
0.0,192.66666666666666,current_old_50_50,0.7037722018001848,0.008414536965423393,0.0033127963229533214,0.7032967708336572,all,3,0.06747193842754924,0.00439685246990292,0.001845867448630966,0.06893858872566552,0.12790357370550712,0.009104064853298776,0.003669213992085791,0.1308236856072007,0.07662456608053579,0.004780081185022363,0.002014450827399515,0.07738330370749417,0.0,3,0.67047921954611,0.6810326665030232,0.020567127963683943,0.007960946249980737,0.6794873725593628,actor,770.6666666666666,0.7582434142209832,0.006991992270724084,0.002712654081218579,0.7593915331169167,-0.7390460229970325,0.05447121242079835,0.004273848574404044,0.001738484166189937,0.05609476228325952,0.3089787294667577,-0.14013539382022175,0.2586231405382539,trained,0.6806578701953229,0.0215677886330644,0.008341412581624068,0.6789102070160674,200000
0.0,192.66666666666666,current_old_50_50,0.6281793268491557,0.013690901500067541,0.005510877436590319,0.62610063643951,all,6,0.1821404784331453,0.01562940256354886,0.006556789788503087,0.1855886966185231,0.4004423954549698,0.043073258728573594,0.017373936301151503,0.4135290005432013,0.19173255720076643,0.015959559819267676,0.006708268570661018,0.194817997147629,0.0,3,0.67047921954611,0.6810326665030232,0.020567127963683943,0.007960946249980737,0.6794873725593628,actor,770.6666666666666,0.761025322308101,0.00681136462410514,0.0026480003780804764,0.7621733716023226,-0.9040403713302333,0.1328459954589453,0.012445567683941896,0.005100010612478399,0.13607273516281249,0.4132865307247415,-0.19323862117643673,0.3514067425940273,trained,0.6806578701953229,0.0215677886330644,0.008341412581624068,0.6789102070160674,200000
0.0,192.66666666666666,current_old_50_50,0.44418453652242973,0.023010000709223228,0.009055756328267472,0.4426011521664936,all,15,0.5575124687951898,0.045022741735224116,0.018374270225055087,0.5602913281039865,1.8670029121338947,0.23203760701304343,0.09076351360892936,1.9029791318369913,0.5650697973497373,0.04462463358067514,0.018255898781522718,0.5673371700930689,0.0,3,0.67047921954611,0.6810326665030232,0.020567127963683943,0.007960946249980737,0.6794873725593628,actor,770.6666666666666,0.7609880968704191,0.0074363744932549524,0.002891882497969326,0.7623314934434139,-0.9296080675338962,0.31680356034798934,0.02571817645808348,0.010171469461168413,0.3197303412769204,0.5375200343840563,-0.23362047632302052,0.3219644363296325,trained,0.6806578701953229,0.0215677886330644,0.008341412581624068,0.6789102070160674,200000
0.0,192.66666666666666,current_old_50_50,0.7148613613626331,0.012003272813964646,0.00461795332844573,0.7149295440622155,paired_recorded,1,0.027654068367838226,0.0008722283630544008,0.00037251253306631524,0.027632468381599662,0.023720914864105356,0.0008846903521058077,0.0003711319967201288,0.02370184298749589,0.03490404021943987,0.0015914785835501883,0.0006845807729348843,0.034511037754891206,0.0,3,0.67047921954611,0.6810326665030232,0.020567127963683943,0.007960946249980737,0.6794873725593628,actor,770.6666666666666,0.7385822760579878,0.011476803946430462,0.004399119740677904,0.7386313870344275,-0.35547609410158065,0.023720914695354662,0.0008846902681389538,0.00037113200842551645,0.02370184297221198,0.019219874641371704,-0.02909765310891139,0.019219873363733053,trained,0.6806578701953229,0.0215677886330644,0.008341412581624068,0.6789102070160674,200000
