after_step,arm,before_step,entropy_after,entropy_before,goal_id,js_divergence_mean,js_divergence_p95,modal_action_agreement,seed,states,task
400000,fifo_100k,200000,0.18932285904884338,0.0823654755949974,0,0.2742120921611786,0.6930160641670227,0.5685096153846154,2,832,go_to_door
400000,fifo_100k,200000,0.35812458395957947,0.23287589848041534,1,0.28249046206474304,0.6887184083461761,0.47029702970297027,2,1616,fetch
400000,fifo_100k,200000,0.2297423630952835,0.18335957825183868,2,0.24742361903190613,0.6887251734733582,0.5682102628285357,2,1598,go_to_object
400000,fifo_100k,200000,0.21859654784202576,0.1952923685312271,3,0.2251942902803421,0.6895523965358734,0.5841584158415841,2,1616,put_near
600000,fifo_100k,400000,1.3842202425003052,0.18932285904884338,0,0.32802385091781616,0.4038154751062393,0.31971153846153844,2,832,go_to_door
600000,fifo_100k,400000,1.3951199054718018,0.35812458395957947,1,0.2889764606952667,0.3953656032681465,0.4313118811881188,2,1616,fetch
600000,fifo_100k,400000,1.3894116878509521,0.2297423630952835,2,0.31829196214675903,0.39540464580059054,0.3016270337922403,2,1598,go_to_object
600000,fifo_100k,400000,1.3935803174972534,0.21859654784202576,3,0.3180362284183502,0.3945295736193657,0.36633663366336633,2,1616,put_near
800000,fifo_100k,600000,0.20193275809288025,1.3842202425003052,0,0.32277023792266846,0.4010520219802856,0.3449519230769231,2,832,go_to_door
800000,fifo_100k,600000,0.30335283279418945,1.3951199054718018,1,0.2946038246154785,0.39058686047792435,0.40717821782178215,2,1616,fetch
800000,fifo_100k,600000,0.20287272334098816,1.3894116878509521,2,0.3185971677303314,0.3936224296689033,0.42991239048811014,2,1598,go_to_object
800000,fifo_100k,600000,0.18519018590450287,1.3935803174972534,3,0.3262585997581482,0.3975786715745926,0.35457920792079206,2,1616,put_near
200000,uniform_reservoir,0,0.2633529007434845,1.9458988904953003,0,0.4136410653591156,0.4752722308039665,0.17976190476190476,0,1680,go_to_door
200000,uniform_reservoir,0,0.2827737331390381,1.9458986520767212,1,0.4098203778266907,0.4750479906797409,0.1645512239347235,0,2206,fetch
200000,uniform_reservoir,0,0.26890242099761963,1.9459000825881958,2,0.41270098090171814,0.4738803431391716,0.15841584158415842,0,1616,go_to_object
200000,uniform_reservoir,0,0.1314437836408615,1.945899486541748,3,0.44368234276771545,0.4748288542032242,0.2660891089108911,0,1616,put_near
400000,uniform_reservoir,200000,0.0998673364520073,0.2633529007434845,0,0.2571277916431427,0.6916225403547287,0.5851190476190476,0,1680,go_to_door
400000,uniform_reservoir,200000,0.1823405921459198,0.2827737331390381,1,0.3868962228298187,0.6917710155248642,0.3785131459655485,0,2206,fetch
400000,uniform_reservoir,200000,0.214760884642601,0.26890242099761963,2,0.32720181345939636,0.6919543743133545,0.46101485148514854,0,1616,go_to_object
400000,uniform_reservoir,200000,0.20850655436515808,0.1314437836408615,3,0.2856525778770447,0.6878536641597748,0.5278465346534653,0,1616,put_near
600000,uniform_reservoir,400000,0.1534290909767151,0.0998673364520073,0,0.2430020123720169,0.6925241559743881,0.6095238095238096,0,1680,go_to_door
600000,uniform_reservoir,400000,0.2719055116176605,0.1823405921459198,1,0.32043084502220154,0.6912236958742142,0.4546690843155032,0,2206,fetch
600000,uniform_reservoir,400000,0.4639872610569,0.214760884642601,2,0.3058745265007019,0.6761439293622971,0.4498762376237624,0,1616,go_to_object
600000,uniform_reservoir,400000,0.32679805159568787,0.20850655436515808,3,0.30292510986328125,0.6776532977819443,0.4603960396039604,0,1616,put_near
800000,uniform_reservoir,600000,0.15441963076591492,0.1534290909767151,0,0.18540331721305847,0.687028506398201,0.6755952380952381,0,1680,go_to_door
800000,uniform_reservoir,600000,0.10289172828197479,0.2719055116176605,1,0.31818556785583496,0.6916831582784653,0.46192203082502264,0,2206,fetch
800000,uniform_reservoir,600000,0.1884617954492569,0.4639872610569,2,0.2623790502548218,0.6726427376270294,0.5284653465346535,0,1616,go_to_object
800000,uniform_reservoir,600000,0.3481753468513489,0.32679805159568787,3,0.3373725414276123,0.6902760565280914,0.40965346534653463,0,1616,put_near
200000,uniform_reservoir,0,0.10625441372394562,1.945896029472351,0,0.4537353515625,0.47887062281370163,0.06365159128978225,1,1194,go_to_door
200000,uniform_reservoir,0,0.23424677550792694,1.9458973407745361,1,0.42540815472602844,0.4787995934486389,0.07331378299120235,1,1705,fetch
200000,uniform_reservoir,0,0.1630273014307022,1.9458967447280884,2,0.44019073247909546,0.4785405665636063,0.054252199413489736,1,1364,go_to_object
200000,uniform_reservoir,0,0.16237854957580566,1.945896863937378,3,0.4400044083595276,0.47830864787101746,0.0724009900990099,1,1616,put_near
400000,uniform_reservoir,200000,0.09441898763179779,0.10625441372394562,0,0.3815379738807678,0.6927591472864151,0.4036850921273032,1,1194,go_to_door
400000,uniform_reservoir,200000,0.26661455631256104,0.23424677550792694,1,0.36783331632614136,0.6920596480369567,0.37478005865102637,1,1705,fetch
400000,uniform_reservoir,200000,0.17550873756408691,0.1630273014307022,2,0.35585036873817444,0.692679437994957,0.42008797653958946,1,1364,go_to_object
400000,uniform_reservoir,200000,0.19597069919109344,0.16237854957580566,3,0.3106635510921478,0.6910720616579056,0.4814356435643564,1,1616,put_near
600000,uniform_reservoir,400000,0.11500447988510132,0.09441898763179779,0,0.2138211578130722,0.6922357082366943,0.6507537688442211,1,1194,go_to_door
600000,uniform_reservoir,400000,0.16545000672340393,0.26661455631256104,1,0.38514629006385803,0.6916838407516479,0.3571847507331378,1,1705,fetch
600000,uniform_reservoir,400000,0.14068809151649475,0.17550873756408691,2,0.4029460549354553,0.6927794396877289,0.37390029325513197,1,1364,go_to_object
600000,uniform_reservoir,400000,0.15178854763507843,0.19597069919109344,3,0.36625874042510986,0.6919766962528229,0.41089108910891087,1,1616,put_near
800000,uniform_reservoir,600000,0.12100600451231003,0.11500447988510132,0,0.19214493036270142,0.6925952643156051,0.678391959798995,1,1194,go_to_door
800000,uniform_reservoir,600000,0.14792321622371674,0.16545000672340393,1,0.3987677991390228,0.6926693439483642,0.3671554252199413,1,1705,fetch
800000,uniform_reservoir,600000,0.09259587526321411,0.14068809151649475,2,0.49080342054367065,0.693081533908844,0.2529325513196481,1,1364,go_to_object
800000,uniform_reservoir,600000,0.1731424778699875,0.15178854763507843,3,0.43555036187171936,0.693035751581192,0.3193069306930693,1,1616,put_near
200000,uniform_reservoir,0,0.07591735571622849,1.9459002017974854,0,0.45988500118255615,0.4781688809394836,0.24158653846153846,2,832,go_to_door
200000,uniform_reservoir,0,0.06666835397481918,1.9459000825881958,1,0.4610377252101898,0.4779393747448921,0.11076732673267327,2,1616,fetch
200000,uniform_reservoir,0,0.05727476254105568,1.9459004402160645,2,0.463853120803833,0.47811374366283416,0.16958698372966208,2,1598,go_to_object
200000,uniform_reservoir,0,0.09055735915899277,1.9459011554718018,3,0.4563218653202057,0.47795378416776657,0.1349009900990099,2,1616,put_near
400000,uniform_reservoir,200000,0.049802735447883606,0.07591735571622849,0,0.11456223577260971,0.6836944162845612,0.8076923076923077,2,832,go_to_door
400000,uniform_reservoir,200000,1.5231441259384155,0.06666835397481918,1,0.3970475196838379,0.5614820420742035,0.2555693069306931,2,1616,fetch
400000,uniform_reservoir,200000,1.3840032815933228,0.05727476254105568,2,0.3485199511051178,0.5568814486265181,0.44868585732165206,2,1598,go_to_object
400000,uniform_reservoir,200000,1.3289867639541626,0.09055735915899277,3,0.3303232491016388,0.5332638025283813,0.3910891089108911,2,1616,put_near
600000,uniform_reservoir,400000,0.022305330261588097,0.049802735447883606,0,0.6481724977493286,0.6931463479995728,0.052884615384615384,2,832,go_to_door
600000,uniform_reservoir,400000,0.14814887940883636,1.5231441259384155,1,0.39041197299957275,0.5753222107887268,0.25433168316831684,2,1616,fetch
600000,uniform_reservoir,400000,0.14988625049591064,1.3840032815933228,2,0.4629623293876648,0.6746665745973586,0.12077596996245307,2,1598,go_to_object
600000,uniform_reservoir,400000,0.1956665813922882,1.3289867639541626,3,0.3320266306400299,0.546431764960289,0.349009900990099,2,1616,put_near
800000,uniform_reservoir,600000,0.0753684714436531,0.022305330261588097,0,0.4638967514038086,0.6931470632553101,0.3125,2,832,go_to_door
800000,uniform_reservoir,600000,0.12128960341215134,0.14814887940883636,1,0.4535556137561798,0.6931240111589432,0.30383663366336633,2,1616,fetch
800000,uniform_reservoir,600000,0.12104221433401108,0.14988625049591064,2,0.33627206087112427,0.6930163979530335,0.4555694618272841,2,1598,go_to_object
800000,uniform_reservoir,600000,0.10034681856632233,0.1956665813922882,3,0.49137774109840393,0.6931390166282654,0.23948019801980197,2,1616,put_near
