arm,replay/abandoned,replay/active_goals,replay/admitted,replay/chunks,replay/episodes,replay/episodes_seen,replay/goal_0/episodes,replay/goal_0/sampled,replay/goal_0/sampled_total,replay/goal_0/transitions,replay/goal_1/episodes,replay/goal_1/sampled,replay/goal_1/sampled_total,replay/goal_1/transitions,replay/goal_2/episodes,replay/goal_2/sampled,replay/goal_2/sampled_total,replay/goal_2/transitions,replay/goal_3/episodes,replay/goal_3/sampled,replay/goal_3/sampled_total,replay/goal_3/transitions,replay/goal_4/episodes,replay/goal_4/sampled,replay/goal_4/sampled_total,replay/goal_4/transitions,replay/goal_5/episodes,replay/goal_5/sampled,replay/goal_5/sampled_total,replay/goal_5/transitions,replay/inserts,replay/items,replay/ram_gb,replay/rejected,replay/replaced,replay/replay_ratio,replay/samples,replay/sampling/current_fraction,replay/sampling/current_group,replay/sampling/is_current_old,replay/streams,replay/updates,seed,step
current_old_50_50,0.0,4.0,231.0,0.0,3697.0,14098.0,1000.0,3920.0,361483.0,26574.0,1000.0,3846.0,161990.0,56981.0,1000.0,3783.0,111491.0,95651.0,697.0,11747.0,35252.0,70397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23300.0,249603.0,2.8650806983932853,0.0,0.0,31.99450643776824,23296.0,0.5,3.0,1.0,1.0,0.0,0,670430
current_old_50_50,0.0,4.0,231.0,0.0,3928.0,14329.0,1000.0,3889.0,365372.0,26574.0,1000.0,3948.0,165938.0,56981.0,1000.0,3941.0,115432.0,95651.0,928.0,11534.0,46786.0,93728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23310.0,272934.0,3.132886765524745,0.0,0.0,32.002745602745605,23312.0,0.5,3.0,1.0,1.0,0.0,0,693740
current_old_50_50,0.0,4.0,218.0,0.0,4000.0,14558.0,1000.0,3942.0,369314.0,26574.0,1000.0,3851.0,169789.0,56981.0,1000.0,3736.0,119168.0,95651.0,1000.0,11679.0,58465.0,101000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23210.0,280206.0,3.2163587864488363,11.0,146.0,31.99724256785868,23208.0,0.5,3.0,1.0,1.0,0.0,0,716950
current_old_50_50,0.0,4.0,178.0,0.0,4000.0,14789.0,1000.0,3890.0,373204.0,26574.0,1000.0,3961.0,173750.0,56981.0,1000.0,3855.0,123023.0,95651.0,1000.0,11534.0,69999.0,101000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23240.0,280206.0,3.2163587864488363,53.0,178.0,32.0,23240.0,0.5,3.0,1.0,1.0,0.0,0,740190
current_old_50_50,0.0,4.0,156.0,0.0,4000.0,15019.0,1000.0,3865.0,377069.0,26574.0,1000.0,3888.0,177638.0,56981.0,1000.0,3947.0,126970.0,95651.0,1000.0,11580.0,81579.0,101000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23280.0,280206.0,3.2163587864488363,74.0,156.0,32.0,23280.0,0.5,3.0,1.0,1.0,0.0,0,763470
current_old_50_50,0.0,4.0,127.0,0.0,4000.0,15249.0,1000.0,3817.0,380886.0,26574.0,1000.0,3895.0,181533.0,56981.0,1000.0,3873.0,130843.0,95651.0,1000.0,11663.0,93242.0,101000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23250.0,280206.0,3.2163587864488363,103.0,127.0,31.997247311827955,23248.0,0.5,3.0,1.0,1.0,0.0,0,786720
current_old_50_50,0.0,1.0,778.0,0.0,778.0,778.0,778.0,23208.0,23208.0,23424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23450.0,23424.0,0.26887357234954834,0.0,0.0,31.669765458422177,23208.0,0.5,0.0,1.0,1.0,0.0,1,23450
current_old_50_50,0.0,1.0,294.0,0.0,1000.0,1077.0,1000.0,23456.0,46664.0,43118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23460.0,43118.0,0.49493215046823025,5.0,72.0,31.99454390451833,23456.0,0.5,0.0,1.0,1.0,0.0,1,46910
current_old_50_50,0.0,1.0,375.0,0.0,1000.0,1566.0,1000.0,23448.0,70112.0,45286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23450.0,45286.0,0.5198176484555006,114.0,375.0,31.99727078891258,23448.0,0.5,0.0,1.0,1.0,0.0,1,70360
current_old_50_50,0.0,1.0,427.0,0.0,1000.0,2346.0,1000.0,23504.0,93616.0,39952.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23500.0,39952.0,0.4585910588502884,353.0,427.0,32.00544680851064,23504.0,0.5,0.0,1.0,1.0,0.0,1,93860
