actor_distribution_enabled,actor_rows,arm,complete,completion_reward_margin,episodes,horizons,integrity_equal,kind,recorded_rows,reward_factual_auroc,reward_factual_average_precision,rows,seed,states,step,summary_path
True,,uniform_reservoir,True,0.005551040172576904,96,,True,head,,0.8990060347887824,0.583648026865773,,2,5662,400000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/uniform_reservoir/seed_0002/step_000000400000/summary.json
True,,uniform_reservoir,True,0.0670466423034668,96,,True,head,,0.9999936609361529,0.9987684729064039,,2,5662,600000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/uniform_reservoir/seed_0002/step_000000600000/summary.json
True,,uniform_reservoir,True,0.08542180061340332,96,,True,head,,0.9999746437446118,0.9947965850059445,,2,5662,800000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/head/uniform_reservoir/seed_0002/step_000000800000/summary.json
,4464,current_old_50_50,True,,94,"[1, 3, 6, 15]",True,critic_provenance,2682,,,7146,0,,0,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/current_old_50_50/seed_0000/step_000000000000/summary.json
,4464,current_old_50_50,True,,94,"[1, 3, 6, 15]",True,critic_provenance,2682,,,7146,0,,200000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/current_old_50_50/seed_0000/step_000000200000/summary.json
,4464,current_old_50_50,True,,94,"[1, 3, 6, 15]",True,critic_provenance,2682,,,7146,0,,400000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/current_old_50_50/seed_0000/step_000000400000/summary.json
,4464,current_old_50_50,True,,94,"[1, 3, 6, 15]",True,critic_provenance,2682,,,7146,0,,600000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/current_old_50_50/seed_0000/step_000000600000/summary.json
,4464,current_old_50_50,True,,94,"[1, 3, 6, 15]",True,critic_provenance,2682,,,7146,0,,800000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/current_old_50_50/seed_0000/step_000000800000/summary.json
,4824,current_old_50_50,True,,102,"[1, 3, 6, 15]",True,critic_provenance,2712,,,7536,1,,0,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/current_old_50_50/seed_0001/step_000000000000/summary.json
,4824,current_old_50_50,True,,102,"[1, 3, 6, 15]",True,critic_provenance,2712,,,7536,1,,200000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/current_old_50_50/seed_0001/step_000000200000/summary.json
,4824,current_old_50_50,True,,102,"[1, 3, 6, 15]",True,critic_provenance,2712,,,7536,1,,400000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/current_old_50_50/seed_0001/step_000000400000/summary.json
,4824,current_old_50_50,True,,102,"[1, 3, 6, 15]",True,critic_provenance,2712,,,7536,1,,600000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/current_old_50_50/seed_0001/step_000000600000/summary.json
,4824,current_old_50_50,True,,102,"[1, 3, 6, 15]",True,critic_provenance,2712,,,7536,1,,800000,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/current_old_50_50/seed_0001/step_000000800000/summary.json
,4584,current_old_50_50,True,,96,"[1, 3, 6, 15]",True,critic_provenance,2574,,,7158,2,,0,/home/localadmin/experiment_logs/minigrid/sequential_baseline_12m_v1/diagnostics/critic_provenance/current_old_50_50/seed_0002/step_000000000000/summary.json
