actent,adapt_actor_grad_norm_mean,adapt_actor_loss_mean,adapt_actor_steps_mean,adapt_actor_update_rms_mean,adapt_adapt_triggers_mean,checkpoint_kind,checkpoint_label,checkpoint_step,complete,condition,deaths,episode_count_exact,episodes,family,goal,horizon,integrity_equal,last_step,logdir,mean_action_length,median_action_length,objective,policy_mode,requested_episodes,reset_count,returncode,seed,source_checkpoint,success_rate,successes
0.0,0.049407974191354696,0.015260665615820639,58.05,2.451274497492731e-05,58.05,natural,step_0001250000,1250000,True,reward_only_ir_h15,0,True,100,reward_only_ir,bury_bones,15,True,5905,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/reward_only_ir_h15/bury_bones/sampled/attempt_01,58.05,59.5,reward_only,sampled,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.99,99
0.0,0.04618703882448878,0.020366761634733995,85.88,1.9686669764949035e-05,85.88,natural,step_0001250000,1250000,True,reward_only_ir_h15,0,True,50,reward_only_ir,bury_bones,15,True,4344,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/reward_only_ir_h15/bury_bones/deterministic/attempt_01,85.88,87.5,reward_only,deterministic,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.96,48
0.0,0.05806736880374645,0.05112643644655999,85.66,1.8127286003102766e-05,85.66,natural,step_0001250000,1250000,True,reward_only_ir_h15,0,True,100,reward_only_ir,chop_logs,15,True,8666,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/reward_only_ir_h15/chop_logs/sampled/attempt_01,85.66,58.0,reward_only,sampled,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.76,76
0.0,0.054920556540558614,0.041390758304909854,90.36,1.804610204234985e-05,90.36,natural,step_0001250000,1250000,True,reward_only_ir_h15,0,True,50,reward_only_ir,chop_logs,15,True,4568,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/reward_only_ir_h15/chop_logs/deterministic/attempt_01,90.36,66.0,reward_only,deterministic,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.78,39
0.0,0.06313691564587855,0.022095517752518563,103.4,1.7204151522384988e-05,103.4,natural,step_0001250000,1250000,True,reward_only_ir_h20,0,True,100,reward_only_ir,kill_goblin,20,True,10440,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/reward_only_ir_h20/kill_goblin/sampled/attempt_01,103.4,86.5,reward_only,sampled,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.73,73
0.0,0.08890665582782155,0.03136211899766204,103.06,1.6896730215798824e-05,103.06,natural,step_0001250000,1250000,True,reward_only_ir_h20,0,True,50,reward_only_ir,kill_goblin,20,True,5203,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/reward_only_ir_h20/kill_goblin/deterministic/attempt_01,103.06,83.0,reward_only,deterministic,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.76,38
0.0,0.05346564857942057,0.019327374597467493,64.37,2.4000765406352198e-05,64.37,natural,step_0001250000,1250000,True,reward_only_ir_h20,0,True,100,reward_only_ir,bury_bones,20,True,6537,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/reward_only_ir_h20/bury_bones/sampled/attempt_01,64.37,72.5,reward_only,sampled,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,1.0,100
0.0,0.058886737633008224,0.02338324925267296,63.46,2.343906387874695e-05,63.46,natural,step_0001250000,1250000,True,reward_only_ir_h20,0,True,50,reward_only_ir,bury_bones,20,True,3223,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/reward_only_ir_h20/bury_bones/deterministic/attempt_01,63.46,60.5,reward_only,deterministic,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.98,49
0.0,0.055267632696374455,0.05221626756524089,79.98,1.7253716686134483e-05,79.98,natural,step_0001250000,1250000,True,reward_only_ir_h20,0,True,100,reward_only_ir,chop_logs,20,True,8098,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/reward_only_ir_h20/chop_logs/sampled/attempt_01,79.98,62.5,reward_only,sampled,100,100,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.88,88
0.0,0.06161446770316752,0.06609495765870688,86.8,1.7417224692554303e-05,86.8,natural,step_0001250000,1250000,True,reward_only_ir_h20,0,True,50,reward_only_ir,chop_logs,20,True,4390,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage3b_natural_forgetting_recovery/evaluations/step_0001250000/reward_only_ir_h20/chop_logs/deterministic/attempt_01,86.8,59.0,reward_only,deterministic,50,50,0,3000,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/milestones/step_000001250000/checkpoint,0.8,40
