balanced_accuracy,episodes,false_positive_rate,goal,policy_mode,positives,predictor,roc_auc,target,threshold,true_positive_rate,window
0.644927536231884,90,0.37681159420289856,all,all,21,predicted_failure,0.639751552795031,ir_needed,0.99953125,0.6666666666666666,25
0.556935817805383,90,0.36231884057971014,all,all,21,js_fraction,0.5093167701863354,ir_needed,0.02482626702869142,0.47619047619047616,25
0.6128364389233953,90,0.5362318840579711,all,all,21,js_x_predicted_failure,0.5748792270531401,ir_needed,0.002820582264685072,0.7619047619047619,25
0.6875,20,0.0,bury_bones,sampled,16,mean_js,0.5625,underperform,0.010242237243801355,0.375,1
0.6875,20,0.0,bury_bones,sampled,16,max_js,0.5625,underperform,0.010242237243801355,0.375,1
0.625,20,0.5,bury_bones,sampled,16,actor_entropy,0.5,underperform,0.06012091971933842,0.75,1
0.625,20,0.25,bury_bones,sampled,16,posterior_entropy,0.5,underperform,0.12364399060606956,0.5,1
0.59375,20,0.75,bury_bones,sampled,16,predicted_failure,0.5390625,underperform,0.8984375,0.9375,1
0.625,20,0.75,bury_bones,sampled,16,js_fraction,0.5,underperform,0.023302617229153028,1.0,1
0.6875,20,0.0,bury_bones,sampled,16,js_x_predicted_failure,0.5625,underperform,0.010242237243801355,0.375,1
0.625,20,0.0,bury_bones,sampled,16,mean_js,0.59375,underperform,0.007139974748361056,0.25,5
0.75,20,0.0,bury_bones,sampled,16,max_js,0.640625,underperform,0.010242237243801355,0.5,5
0.625,20,0.25,bury_bones,sampled,16,actor_entropy,0.5625,underperform,0.09648941489867865,0.5,5
0.65625,20,0.0,bury_bones,sampled,16,posterior_entropy,0.609375,underperform,0.2297653265297413,0.3125,5
0.625,20,0.75,bury_bones,sampled,16,predicted_failure,0.5078125,underperform,0.953125,1.0,5
0.625,20,0.0,bury_bones,sampled,16,js_fraction,0.46875,underperform,0.047078802442929044,0.25,5
0.625,20,0.0,bury_bones,sampled,16,js_x_predicted_failure,0.59375,underperform,0.006966259333103153,0.25,5
0.6875,20,0.25,bury_bones,sampled,16,mean_js,0.609375,underperform,0.002160221131651952,0.625,10
0.78125,20,0.0,bury_bones,sampled,16,max_js,0.6875,underperform,0.010242237243801355,0.5625,10
0.6875,20,0.25,bury_bones,sampled,16,actor_entropy,0.609375,underperform,0.08560797949321568,0.625,10
0.65625,20,0.5,bury_bones,sampled,16,posterior_entropy,0.5625,underperform,0.050926529918797314,0.8125,10
0.625,20,0.75,bury_bones,sampled,16,predicted_failure,0.484375,underperform,0.962890625,1.0,10
0.59375,20,0.0,bury_bones,sampled,16,js_fraction,0.46875,underperform,0.046825622173401915,0.1875,10
0.6875,20,0.25,bury_bones,sampled,16,js_x_predicted_failure,0.609375,underperform,0.002160221131651952,0.625,10
0.75,20,0.25,bury_bones,sampled,16,mean_js,0.5625,underperform,0.002251945250782228,0.75,25
0.75,20,0.0,bury_bones,sampled,16,max_js,0.609375,underperform,0.012378179002553225,0.5,25
0.625,20,0.0,bury_bones,sampled,16,actor_entropy,0.59375,underperform,0.19938525173347443,0.25,25
0.625,20,0.0,bury_bones,sampled,16,posterior_entropy,0.515625,underperform,0.1910988731123507,0.25,25
0.71875,20,0.25,bury_bones,sampled,16,predicted_failure,0.65625,underperform,0.99921875,0.6875,25
0.5625,20,0.75,bury_bones,sampled,16,js_fraction,0.40625,underperform,0.01309998583773514,0.875,25
0.75,20,0.25,bury_bones,sampled,16,js_x_predicted_failure,0.578125,underperform,0.00225122512318718,0.75,25
nan,20,nan,bury_bones,sampled,0,mean_js,nan,ir_needed,nan,nan,1
nan,20,nan,bury_bones,sampled,0,max_js,nan,ir_needed,nan,nan,1
nan,20,nan,bury_bones,sampled,0,actor_entropy,nan,ir_needed,nan,nan,1
nan,20,nan,bury_bones,sampled,0,posterior_entropy,nan,ir_needed,nan,nan,1
nan,20,nan,bury_bones,sampled,0,predicted_failure,nan,ir_needed,nan,nan,1
nan,20,nan,bury_bones,sampled,0,js_fraction,nan,ir_needed,nan,nan,1
nan,20,nan,bury_bones,sampled,0,js_x_predicted_failure,nan,ir_needed,nan,nan,1
nan,20,nan,bury_bones,sampled,0,mean_js,nan,ir_needed,nan,nan,5
nan,20,nan,bury_bones,sampled,0,max_js,nan,ir_needed,nan,nan,5
nan,20,nan,bury_bones,sampled,0,actor_entropy,nan,ir_needed,nan,nan,5
nan,20,nan,bury_bones,sampled,0,posterior_entropy,nan,ir_needed,nan,nan,5
nan,20,nan,bury_bones,sampled,0,predicted_failure,nan,ir_needed,nan,nan,5
nan,20,nan,bury_bones,sampled,0,js_fraction,nan,ir_needed,nan,nan,5
nan,20,nan,bury_bones,sampled,0,js_x_predicted_failure,nan,ir_needed,nan,nan,5
nan,20,nan,bury_bones,sampled,0,mean_js,nan,ir_needed,nan,nan,10
nan,20,nan,bury_bones,sampled,0,max_js,nan,ir_needed,nan,nan,10
nan,20,nan,bury_bones,sampled,0,actor_entropy,nan,ir_needed,nan,nan,10
nan,20,nan,bury_bones,sampled,0,posterior_entropy,nan,ir_needed,nan,nan,10
nan,20,nan,bury_bones,sampled,0,predicted_failure,nan,ir_needed,nan,nan,10
nan,20,nan,bury_bones,sampled,0,js_fraction,nan,ir_needed,nan,nan,10
nan,20,nan,bury_bones,sampled,0,js_x_predicted_failure,nan,ir_needed,nan,nan,10
nan,20,nan,bury_bones,sampled,0,mean_js,nan,ir_needed,nan,nan,25
nan,20,nan,bury_bones,sampled,0,max_js,nan,ir_needed,nan,nan,25
nan,20,nan,bury_bones,sampled,0,actor_entropy,nan,ir_needed,nan,nan,25
nan,20,nan,bury_bones,sampled,0,posterior_entropy,nan,ir_needed,nan,nan,25
nan,20,nan,bury_bones,sampled,0,predicted_failure,nan,ir_needed,nan,nan,25
nan,20,nan,bury_bones,sampled,0,js_fraction,nan,ir_needed,nan,nan,25
nan,20,nan,bury_bones,sampled,0,js_x_predicted_failure,nan,ir_needed,nan,nan,25
0.5952380952380953,10,0.6666666666666666,bury_bones,deterministic,7,mean_js,0.38095238095238093,underperform,0.0005530583148356527,0.8571428571428571,1
0.5952380952380953,10,0.6666666666666666,bury_bones,deterministic,7,max_js,0.38095238095238093,underperform,0.0005530583148356527,0.8571428571428571,1
0.6428571428571428,10,0.0,bury_bones,deterministic,7,actor_entropy,0.38095238095238093,underperform,0.12369835376739502,0.2857142857142857,1
0.5952380952380953,10,0.6666666666666666,bury_bones,deterministic,7,posterior_entropy,0.38095238095238093,underperform,0.009765587747097015,0.8571428571428571,1
0.6666666666666667,10,0.6666666666666666,bury_bones,deterministic,7,predicted_failure,0.6190476190476191,underperform,0.90234375,1.0,1
0.7857142857142857,10,0.0,bury_bones,deterministic,7,js_fraction,0.5714285714285714,underperform,0.05659824387890515,0.5714285714285714,1
0.6666666666666667,10,0.6666666666666666,bury_bones,deterministic,7,js_x_predicted_failure,0.42857142857142855,underperform,0.00045351331391429994,1.0,1
0.6904761904761906,10,0.3333333333333333,bury_bones,deterministic,7,mean_js,0.5238095238095238,underperform,0.002681897219372331,0.7142857142857143,5
0.6190476190476191,10,0.3333333333333333,bury_bones,deterministic,7,max_js,0.42857142857142855,underperform,0.005934615386649966,0.5714285714285714,5
0.761904761904762,10,0.3333333333333333,bury_bones,deterministic,7,actor_entropy,0.7619047619047619,underperform,0.14534450205210306,0.8571428571428571,5
0.761904761904762,10,0.3333333333333333,bury_bones,deterministic,7,posterior_entropy,0.7619047619047619,underperform,0.1455770877073519,0.8571428571428571,5
0.761904761904762,10,0.3333333333333333,bury_bones,deterministic,7,predicted_failure,0.7619047619047619,underperform,0.99921875,0.8571428571428571,5
0.5,10,0.0,bury_bones,deterministic,7,js_fraction,0.19047619047619047,underperform,0.04197121001356376,0.0,5
0.6904761904761906,10,0.3333333333333333,bury_bones,deterministic,7,js_x_predicted_failure,0.5238095238095238,underperform,0.0026579590507026293,0.7142857142857143,5
0.5,10,0.0,bury_bones,deterministic,7,mean_js,0.23809523809523808,underperform,0.006823805061503664,0.0,10
0.5,10,0.0,bury_bones,deterministic,7,max_js,0.09523809523809523,underperform,0.03402621671557427,0.0,10
0.761904761904762,10,0.3333333333333333,bury_bones,deterministic,7,actor_entropy,0.7619047619047619,underperform,0.13816524908761493,0.8571428571428571,10
0.761904761904762,10,0.3333333333333333,bury_bones,deterministic,7,posterior_entropy,0.7619047619047619,underperform,0.14188209298299626,0.8571428571428571,10
0.761904761904762,10,0.3333333333333333,bury_bones,deterministic,7,predicted_failure,0.7619047619047619,underperform,0.999609375,0.8571428571428571,10
0.5,10,0.0,bury_bones,deterministic,7,js_fraction,0.09523809523809523,underperform,0.08924826242400476,0.0,10
0.5,10,0.0,bury_bones,deterministic,7,js_x_predicted_failure,0.23809523809523808,underperform,0.006685196521191871,0.0,10
0.5714285714285714,10,0.0,bury_bones,deterministic,7,mean_js,0.14285714285714285,underperform,0.004153387602532348,0.14285714285714285,25
0.5,10,0.0,bury_bones,deterministic,7,max_js,0.09523809523809523,underperform,0.03402621671557427,0.0,25
0.7857142857142857,10,0.0,bury_bones,deterministic,7,actor_entropy,0.8095238095238095,underperform,0.36853556184098124,0.5714285714285714,25
0.7857142857142857,10,0.0,bury_bones,deterministic,7,posterior_entropy,0.8095238095238095,underperform,0.37583114963024855,0.5714285714285714,25
0.761904761904762,10,0.3333333333333333,bury_bones,deterministic,7,predicted_failure,0.7619047619047619,underperform,0.9996875000000001,0.8571428571428571,25
0.5,10,0.0,bury_bones,deterministic,7,js_fraction,0.047619047619047616,underperform,0.07399086847685088,0.0,25
0.5714285714285714,10,0.0,bury_bones,deterministic,7,js_x_predicted_failure,0.14285714285714285,underperform,0.004152115588151173,0.14285714285714285,25
0.5952380952380953,10,0.6666666666666666,bury_bones,deterministic,7,mean_js,0.38095238095238093,ir_needed,0.0005530583148356527,0.8571428571428571,1
0.5952380952380953,10,0.6666666666666666,bury_bones,deterministic,7,max_js,0.38095238095238093,ir_needed,0.0005530583148356527,0.8571428571428571,1
0.6428571428571428,10,0.0,bury_bones,deterministic,7,actor_entropy,0.38095238095238093,ir_needed,0.12369835376739502,0.2857142857142857,1
0.5952380952380953,10,0.6666666666666666,bury_bones,deterministic,7,posterior_entropy,0.38095238095238093,ir_needed,0.009765587747097015,0.8571428571428571,1
0.6666666666666667,10,0.6666666666666666,bury_bones,deterministic,7,predicted_failure,0.6190476190476191,ir_needed,0.90234375,1.0,1
0.7857142857142857,10,0.0,bury_bones,deterministic,7,js_fraction,0.5714285714285714,ir_needed,0.05659824387890515,0.5714285714285714,1
0.6666666666666667,10,0.6666666666666666,bury_bones,deterministic,7,js_x_predicted_failure,0.42857142857142855,ir_needed,0.00045351331391429994,1.0,1
0.6904761904761906,10,0.3333333333333333,bury_bones,deterministic,7,mean_js,0.5238095238095238,ir_needed,0.002681897219372331,0.7142857142857143,5
0.6190476190476191,10,0.3333333333333333,bury_bones,deterministic,7,max_js,0.42857142857142855,ir_needed,0.005934615386649966,0.5714285714285714,5
0.761904761904762,10,0.3333333333333333,bury_bones,deterministic,7,actor_entropy,0.7619047619047619,ir_needed,0.14534450205210306,0.8571428571428571,5
0.761904761904762,10,0.3333333333333333,bury_bones,deterministic,7,posterior_entropy,0.7619047619047619,ir_needed,0.1455770877073519,0.8571428571428571,5
0.761904761904762,10,0.3333333333333333,bury_bones,deterministic,7,predicted_failure,0.7619047619047619,ir_needed,0.99921875,0.8571428571428571,5
0.5,10,0.0,bury_bones,deterministic,7,js_fraction,0.19047619047619047,ir_needed,0.04197121001356376,0.0,5
