action_length,always_reward_success,canonical_stage,commit_on_no_ir_success,committed_updates,condition,episode_index,first_before_actor_entropy,first_before_js,first_before_success_rate,first_predicted_improvement,first_score_before,goal,max_predicted_improvement,mean_predicted_improvement,mean_score_before,missed_repair_opportunity,necessity_class,no_ir_success,policy_mode,positive_probe_fraction,probes,rejected_updates,replicate,reset_seed,success,tentative_updates
200.0,1,stage5b2,0,0.0,virtual_reward_dormant_100,12,0.06213361397385597,0.003875341732054949,0.0,-8.008721463781399e-11,3.0075519852346133e-10,bury_bones,-8.008721463781399e-11,-1.5048284493501818e-07,2.2783737396725456e-07,1,ir_needed,0,deterministic,0.0,2,2.0,0,5646325256803454865,0,2.0
200.0,1,stage5b2,0,0.0,no_ir,13,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,4071976461193956595,0,0.0
107.0,1,stage5b2,0,107.0,always_reward_only,13,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,4071976461193956595,1,0.0
200.0,1,stage5b2,0,55.0,virtual_reward_dormant_25,13,0.01583797298371792,0.002649756846949458,0.0,2.634528151190807e-10,2.7129587465424265e-09,bury_bones,0.03636769950389862,0.0004783691081028617,0.0024576531671799957,0,ir_needed,0,deterministic,0.5670103092783505,97,42.0,0,4071976461193956595,0,97.0
200.0,1,stage5b2,0,0.0,virtual_reward_dormant_100,13,0.013163283467292786,0.001663430593907833,0.0,-2.947309063472403e-12,1.449055320179582e-09,bury_bones,-2.947309063472403e-12,-3.214424523778625e-07,6.135785511895975e-07,1,ir_needed,0,deterministic,0.0,2,2.0,0,4071976461193956595,0,2.0
200.0,1,stage5b2,0,0.0,no_ir,14,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,5469972206906403671,0,0.0
72.0,1,stage5b2,0,72.0,always_reward_only,14,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,5469972206906403671,1,0.0
200.0,1,stage5b2,0,24.0,virtual_reward_dormant_25,14,0.34344348311424255,0.012870077975094318,0.0,6.2940557654656e-08,4.6893740091036307e-07,bury_bones,0.0009269174188375473,-4.269370496828033e-05,0.0004764937523323268,0,ir_needed,0,deterministic,0.48,50,26.0,0,5469972206906403671,0,50.0
200.0,1,stage5b2,0,6.0,virtual_reward_dormant_100,14,0.6614481806755066,0.007158332038670778,0.0078125,-4.656612873077393e-10,0.004577863961458206,bury_bones,1.6832927940413356e-08,-6.419836350383124e-05,0.0013323848361972133,0,ir_needed,0,deterministic,0.6,10,4.0,0,5469972206906403671,0,10.0
200.0,1,stage5b2,0,0.0,no_ir,15,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,1,ir_needed,0,deterministic,nan,0,0.0,0,3861664246226342493,0,0.0
93.0,1,stage5b2,0,93.0,always_reward_only,15,nan,nan,nan,nan,nan,bury_bones,nan,nan,nan,0,ir_needed,0,deterministic,nan,0,0.0,0,3861664246226342493,1,0.0
200.0,1,stage5b2,0,105.0,virtual_reward_dormant_25,15,0.7362166047096252,0.018394310027360916,0.0,-9.962164426724485e-11,2.228262374615042e-08,bury_bones,0.27963361144065857,0.010363460531118732,0.05610808338221629,0,ir_needed,0,deterministic,0.6907894736842105,152,47.0,0,3861664246226342493,0,152.0
200.0,1,stage5b2,0,18.0,virtual_reward_dormant_100,15,0.7429593801498413,0.02856704406440258,0.0,-2.0765478225825973e-10,5.94954752131116e-09,bury_bones,0.004223072901368141,0.00020485359167162805,0.001565202546890895,0,ir_needed,0,deterministic,0.5625,32,14.0,0,3861664246226342493,0,32.0
