condition,episodes,goal,policy_mode,positives,predictor,roc_auc,target
virtual_reward_dormant_25,75,bury_bones,deterministic,32,first_actor_entropy,0.6627906976744186,ir_needed
virtual_reward_dormant_25,150,chop_logs,sampled,25,predicted_failure,0.68992,underperform
virtual_reward_dormant_25,150,chop_logs,sampled,25,first_virtual_improvement,0.46272,underperform
virtual_reward_dormant_25,150,chop_logs,sampled,25,max_virtual_improvement,0.33728,underperform
virtual_reward_dormant_25,150,chop_logs,sampled,25,first_js,0.54208,underperform
virtual_reward_dormant_25,150,chop_logs,sampled,25,first_actor_entropy,0.49888,underperform
virtual_reward_dormant_25,150,chop_logs,sampled,15,predicted_failure,0.6385185185185185,ir_needed
virtual_reward_dormant_25,150,chop_logs,sampled,15,first_virtual_improvement,0.4666666666666667,ir_needed
virtual_reward_dormant_25,150,chop_logs,sampled,15,max_virtual_improvement,0.2730864197530864,ir_needed
virtual_reward_dormant_25,150,chop_logs,sampled,15,first_js,0.5595061728395062,ir_needed
virtual_reward_dormant_25,150,chop_logs,sampled,15,first_actor_entropy,0.4523456790123457,ir_needed
virtual_reward_dormant_25,75,chop_logs,deterministic,14,predicted_failure,0.6955503512880562,underperform
virtual_reward_dormant_25,75,chop_logs,deterministic,14,first_virtual_improvement,0.3548009367681499,underperform
virtual_reward_dormant_25,75,chop_logs,deterministic,14,max_virtual_improvement,0.3618266978922717,underperform
virtual_reward_dormant_25,75,chop_logs,deterministic,14,first_js,0.5269320843091335,underperform
virtual_reward_dormant_25,75,chop_logs,deterministic,14,first_actor_entropy,0.5608899297423887,underperform
virtual_reward_dormant_25,75,chop_logs,deterministic,9,predicted_failure,0.5723905723905723,ir_needed
virtual_reward_dormant_25,75,chop_logs,deterministic,9,first_virtual_improvement,0.28114478114478114,ir_needed
virtual_reward_dormant_25,75,chop_logs,deterministic,9,max_virtual_improvement,0.39225589225589225,ir_needed
virtual_reward_dormant_25,75,chop_logs,deterministic,9,first_js,0.6481481481481481,ir_needed
virtual_reward_dormant_25,75,chop_logs,deterministic,9,first_actor_entropy,0.6245791245791246,ir_needed
