actent,adapt_actor_grad_norm_mean,adapt_actor_loss_mean,adapt_actor_steps_mean,adapt_actor_update_rms_mean,adapt_adapt_triggers_mean,checkpoint_kind,complete,condition,deaths,episode_count_exact,episodes,family,goal,horizon,integrity_equal,last_step,logdir,mean_action_length,median_action_length,objective,policy_mode,requested_episodes,reset_count,returncode,seed,success_rate,successes
0.0003,0.03162585404131216,-0.01657472008541751,160.54,1.3868881519839629e-05,160.54,corrupt,True,standard_ir_h15,0,True,100,standard_ir,kill_goblin,15,True,16154,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h15/kill_goblin/sampled/attempt_01,160.54,200.0,standard,sampled,100,100,0,2000,0.32,32
0.0003,0.03260462284718275,-0.034287081138462225,170.02,1.3429274145788459e-05,170.02,corrupt,True,standard_ir_h15,0,True,50,standard_ir,kill_goblin,15,True,8551,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h15/kill_goblin/deterministic/attempt_01,170.02,200.0,standard,deterministic,50,50,0,2000,0.28,14
0.0003,0.03436644507970323,-0.04058278547587031,199.08,1.3296672388499552e-05,199.08,corrupt,True,standard_ir_h15,0,True,100,standard_ir,bury_bones,15,True,20008,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h15/bury_bones/sampled/attempt_01,199.08,200.0,standard,sampled,100,100,0,2000,0.01,1
0.0003,0.03378068231771466,-0.02948240539199896,200.0,1.2804681090062785e-05,200.0,corrupt,True,standard_ir_h15,0,True,50,standard_ir,bury_bones,15,True,10050,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h15/bury_bones/deterministic/attempt_01,200.0,200.0,standard,deterministic,50,50,0,2000,0.0,0
0.0003,0.018570161910690042,-0.028275772056519526,166.07,1.2583739162708734e-05,166.07,corrupt,True,standard_ir_h15,0,True,100,standard_ir,chop_logs,15,True,16707,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h15/chop_logs/sampled/attempt_01,166.07,200.0,standard,sampled,100,100,0,2000,0.3,30
0.0003,0.028024275652462186,-0.02606449281989304,172.74,1.279566211215933e-05,172.74,corrupt,True,standard_ir_h15,0,True,50,standard_ir,chop_logs,15,True,8687,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h15/chop_logs/deterministic/attempt_01,172.74,200.0,standard,deterministic,50,50,0,2000,0.22,11
0.0003,0.03392916643116324,-0.04981665143784153,120.83,1.5388340982938617e-05,120.83,corrupt,True,standard_ir_h20,0,True,100,standard_ir,kill_goblin,20,True,12183,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h20/kill_goblin/sampled/attempt_01,120.83,157.5,standard,sampled,100,100,0,2000,0.55,55
0.0003,0.03187679018132081,-0.0409211472965281,158.08,1.3965612371910842e-05,158.08,corrupt,True,standard_ir_h20,0,True,50,standard_ir,kill_goblin,20,True,7954,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h20/kill_goblin/deterministic/attempt_01,158.08,200.0,standard,deterministic,50,50,0,2000,0.4,20
0.0003,0.0293952967132218,-0.0510116664515931,199.23,1.2746915090146797e-05,199.23,corrupt,True,standard_ir_h20,0,True,100,standard_ir,bury_bones,20,True,20023,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h20/bury_bones/sampled/attempt_01,199.23,200.0,standard,sampled,100,100,0,2000,0.02,2
0.0003,0.04105497278904453,-0.05696077427952392,182.28,1.4022865008005805e-05,182.28,corrupt,True,standard_ir_h20,0,True,50,standard_ir,bury_bones,20,True,9164,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h20/bury_bones/deterministic/attempt_01,182.28,200.0,standard,deterministic,50,50,0,2000,0.14,7
0.0003,0.01684966407531584,-0.040500181306401296,149.4,1.26657468491459e-05,149.4,corrupt,True,standard_ir_h20,0,True,100,standard_ir,chop_logs,20,True,15040,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h20/chop_logs/sampled/attempt_01,149.4,200.0,standard,sampled,100,100,0,2000,0.46,46
0.0003,0.021445447567876343,-0.036670237301470204,173.06,1.2129968598815341e-05,173.06,corrupt,True,standard_ir_h20,0,True,50,standard_ir,chop_logs,20,True,8703,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/standard_ir_h20/chop_logs/deterministic/attempt_01,173.06,200.0,standard,deterministic,50,50,0,2000,0.22,11
0.0,0.06906612237534086,-0.0064263308089395335,135.45,1.5869367940404276e-05,135.45,corrupt,True,entropy_off_ir_h3,0,True,100,entropy_off_ir,kill_goblin,3,True,13645,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h3/kill_goblin/sampled/attempt_01,135.45,200.0,standard,sampled,100,100,0,2000,0.48,48
0.0,0.04875304346991986,-0.006441679367071943,147.54,1.3372771610588805e-05,147.54,corrupt,True,entropy_off_ir_h3,0,True,50,entropy_off_ir,kill_goblin,3,True,7427,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h3/kill_goblin/deterministic/attempt_01,147.54,200.0,standard,deterministic,50,50,0,2000,0.36,18
0.0,0.06009385218101313,-0.014354977454970079,197.12,1.3327383306214883e-05,197.12,corrupt,True,entropy_off_ir_h3,0,True,100,entropy_off_ir,bury_bones,3,True,19812,/home/cm150user/crl_ir/logs/rlscape/m4_reservoir_3goal_500k_seed0/stage2_actor_recovery/main/entropy_off_ir_h3/bury_bones/sampled/attempt_01,197.12,200.0,standard,sampled,100,100,0,2000,0.03,3
